method,regime,T,p,noise,seed,precision,recall,f1,auc,mse
tv-gVAR,smooth,80,10,0.3,2,0.1907645872240498,0.44551282051282054,0.26513093890431116,0.6054129383749459,0.010169792518846433
stationary-gVAR,smooth,80,10,0.3,2,0.22222222222222224,0.17424242424242425,0.19455054749172396,0.5386338762863154,0.009414257878180154
Ledoit-Wolf,smooth,80,10,0.3,2,0.14738292011019286,0.8371212121212122,0.2502992502992503,0.5833054987018401,0.02123173132783934
tv-gVAR,smooth,80,10,0.3,3,0.201984539386561,0.5641025641025641,0.2965194123416354,0.6295681595869212,0.012615723244223657
stationary-gVAR,smooth,80,10,0.3,3,0.3553719008264463,0.33712121212121215,0.34491366756812974,0.6273546913790818,0.009342761393567245
Ledoit-Wolf,smooth,80,10,0.3,3,0.17155425219941353,0.9128787878787876,0.2884520884520885,0.6917936399643717,0.01982707997342342
tv-gVAR,smooth,80,10,0.3,4,0.21061756535678897,0.6378205128205128,0.31613428392344584,0.6890033434358013,0.01275813582632707
stationary-gVAR,smooth,80,10,0.3,4,0.27272727272727265,0.26136363636363635,0.26586228416892027,0.6054263317982831,0.00967665061513283
Ledoit-Wolf,smooth,80,10,0.3,4,0.16761363636363635,0.924242424242424,0.28335991493886237,0.6976874751264994,0.019178654749789713
tv-gVAR,smooth,80,10,0.5,0,0.15120033931243745,0.7532051282051283,0.2514728157515306,0.6712057616138292,0.02351775910728717
stationary-gVAR,smooth,80,10,0.5,0,0.15311004784688997,0.5,0.2339920948616601,0.5359291792218622,0.01447759887589217
Ledoit-Wolf,smooth,80,10,0.5,0,0.15835777126099707,0.8484848484848485,0.26647946647946646,0.584618464191635,0.022971407565683798
tv-gVAR,smooth,80,10,0.5,1,0.1523923411680926,0.7435897435897435,0.2525596788856535,0.6236018906047048,0.027873343324114626
stationary-gVAR,smooth,80,10,0.5,1,0.18181818181818177,0.5984848484848485,0.2782608695652175,0.6280452271305932,0.016842902843108257
Ledoit-Wolf,smooth,80,10,0.5,1,0.14545454545454542,0.75,0.2433155080213904,0.5610348323762957,0.02384947246626984
tv-gVAR,smooth,80,10,0.5,2,0.14633371128092407,0.6602564102564104,0.23899207309731232,0.5961508394669747,0.02205259929686307
stationary-gVAR,smooth,80,10,0.5,2,0.11845730027548207,0.33712121212121215,0.174919931017492,0.509299135823526,0.013224637564214324
Ledoit-Wolf,smooth,80,10,0.5,2,0.14738292011019286,0.8371212121212122,0.2502992502992503,0.5810165444311786,0.02125035694280893
tv-gVAR,smooth,80,10,0.5,3,0.1513076381850434,0.7339743589743589,0.2504794036686206,0.6121594426003432,0.026146457011008997
stationary-gVAR,smooth,80,10,0.5,3,0.12918660287081338,0.42424242424242425,0.1976284584980237,0.5790752269410806,0.015097611935348986
Ledoit-Wolf,smooth,80,10,0.5,3,0.17155425219941353,0.9128787878787876,0.2884520884520885,0.6870072677999506,0.019843705805322086
tv-gVAR,smooth,80,10,0.5,4,0.16761298468604233,0.7756410256410254,0.2753124071427731,0.6760009260595564,0.024127522478832025
stationary-gVAR,smooth,80,10,0.5,4,0.14772727272727268,0.5113636363636364,0.22872960372960377,0.5386960600375232,0.01474069866523276
Ledoit-Wolf,smooth,80,10,0.5,4,0.16761363636363635,0.924242424242424,0.28335991493886237,0.6967162241552486,0.01919159359383005
tv-gVAR,smooth,160,6,0.3,0,0.46883533133533134,0.6153846153846154,0.5204825584520024,0.7339295320064552,0.0074955406139702255
stationary-gVAR,smooth,160,6,0.3,0,0.6666666666666667,0.2727272727272727,0.3825265643447462,0.5812142403051495,0.02483931031583454
Ledoit-Wolf,smooth,160,6,0.3,0,0.2803030303030303,0.8863636363636364,0.4237012987012987,0.7627145581691036,0.037372705272431264
tv-gVAR,smooth,160,6,0.3,1,0.438498894268125,0.6634615384615384,0.5198182622331229,0.7233055406132328,0.010931753360793066
stationary-gVAR,smooth,160,6,0.3,1,0.0,0.0,0.0,0.5467260012714559,0.024741292450377903
Ledoit-Wolf,smooth,160,6,0.3,1,0.32323232323232326,0.7727272727272727,0.452638270820089,0.6057692307692307,0.035804657696759806
tv-gVAR,smooth,160,6,0.3,2,0.5868437118437118,0.5673076923076923,0.570101630395748,0.738518692845616,0.006211584370519718
stationary-gVAR,smooth,160,6,0.3,2,0.0,0.0,0.0,0.4775905912269549,0.024975208584769718
Ledoit-Wolf,smooth,160,6,0.3,2,0.2545454545454545,1.0,0.40416549394877566,0.5001589319771138,0.042826314984613666
tv-gVAR,smooth,160,6,0.3,3,0.5548974529743761,0.5769230769230769,0.558509112146883,0.727827461000538,0.009120849883036864
stationary-gVAR,smooth,160,6,0.3,3,0.0,0.0,0.0,0.6036236490781944,0.024606283134821952
Ledoit-Wolf,smooth,160,6,0.3,3,0.29090909090909084,0.7727272727272727,0.41991341991341985,0.5278925619834712,0.03450110001846279
tv-gVAR,smooth,160,6,0.3,4,0.475292335869259,0.6442307692307693,0.5394317035621383,0.7686928456159227,0.00829050839458018
stationary-gVAR,smooth,160,6,0.3,4,0.5,0.13636363636363635,0.21212121212121213,0.5424348378893833,0.02479890105303839
Ledoit-Wolf,smooth,160,6,0.3,4,0.3057851239669422,0.8863636363636364,0.4522144522144522,0.6184043229497775,0.03957326121106769
tv-gVAR,smooth,160,6,0.5,0,0.3357850007022429,0.7115384615384616,0.45144522554163885,0.6983929532006456,0.010707134040945162
stationary-gVAR,smooth,160,6,0.5,0,0.31818181818181823,0.5,0.38636363636363635,0.5798633184996822,0.02700527206463227
Ledoit-Wolf,smooth,160,6,0.5,0,0.2803030303030303,0.8863636363636364,0.4237012987012987,0.7588207247298157,0.0373881361865498
tv-gVAR,smooth,160,6,0.5,1,0.3421101731086251,0.7884615384615384,0.4740389673073331,0.7253395642818721,0.01362679607635775
stationary-gVAR,smooth,160,6,0.5,1,0.29090909090909084,0.38636363636363635,0.329004329004329,0.5006357279084551,0.02644568962307976
Ledoit-Wolf,smooth,160,6,0.5,1,0.32323232323232326,0.7727272727272727,0.452638270820089,0.608788938334393,0.03581804726782997
tv-gVAR,smooth,160,6,0.5,2,0.3907271659831793,0.6634615384615384,0.48452806452806463,0.7390229962345346,0.007619477225595232
stationary-gVAR,smooth,160,6,0.5,2,0.25,0.13636363636363635,0.17424242424242425,0.6870629370629371,0.025138983060285794
Ledoit-Wolf,smooth,160,6,0.5,2,0.2545454545454545,1.0,0.40416549394877566,0.5053242212333121,0.04284754314927265
tv-gVAR,smooth,160,6,0.5,3,0.34038047270662175,0.6538461538461539,0.4443579803534037,0.7113871705217858,0.010995018497080171
stationary-gVAR,smooth,160,6,0.5,3,0.32323232323232326,0.38636363636363635,0.34882764294529,0.5406468531468532,0.02572116835580412
Ledoit-Wolf,smooth,160,6,0.5,3,0.29090909090909084,0.7727272727272727,0.41991341991341985,0.5197075651621107,0.03451408502885704
tv-gVAR,smooth,160,6,0.5,4,0.3822499782639101,0.8076923076923077,0.5158212083964593,0.77551775147929,0.011297057151539126
stationary-gVAR,smooth,160,6,0.5,4,0.2,0.2727272727272727,0.227994227994228,0.4489431023521932,0.02688174505834857
Ledoit-Wolf,smooth,160,6,0.5,4,0.3057851239669422,0.8863636363636364,0.4522144522144522,0.606325492689129,0.039589199931745214
tv-gVAR,smooth,160,10,0.3,0,0.2987407692220984,0.6794871794871794,0.41357316245550285,0.785145162842161,0.005264201113298492
stationary-gVAR,smooth,160,10,0.3,0,0.4285714285714286,0.26136363636363635,0.32344497607655504,0.6681460477192185,0.008884536141972398
Ledoit-Wolf,smooth,160,10,0.3,0,0.16212121212121214,0.8371212121212122,0.27124183006535946,0.6575961301571058,0.018843322259591844
tv-gVAR,smooth,160,10,0.3,1,0.2473721985929344,0.532051282051282,0.33597599330093897,0.6590166530363528,0.006784580206803206
stationary-gVAR,smooth,160,10,0.3,1,0.25,0.17424242424242425,0.20454545454545459,0.5596490230636572,0.008945284134326407
Ledoit-Wolf,smooth,160,10,0.3,1,0.164983164983165,0.7727272727272727,0.27139429485470534,0.6869255405840771,0.017979939836541885
tv-gVAR,smooth,160,10,0.3,2,0.22588686525196186,0.4006410256410256,0.282833243262232,0.6155439697888103,0.006360476950413464
stationary-gVAR,smooth,160,10,0.3,2,0.0,0.0,0.0,0.5214338507021433,0.009312814427767336
Ledoit-Wolf,smooth,160,10,0.3,2,0.13223140495867766,0.75,0.22453222453222457,0.5660367748782383,0.021072348695734815
tv-gVAR,smooth,160,10,0.3,3,0.33095637813543,0.5576923076923077,0.39912921868222695,0.7358244736293517,0.004795378314454166
stationary-gVAR,smooth,160,10,0.3,3,0.4,0.17424242424242425,0.24187577128753598,0.6337317831220272,0.008764733963007422
Ledoit-Wolf,smooth,160,10,0.3,3,0.16771159874608152,0.8371212121212122,0.2790240062967335,0.7193297894517405,0.020579359384698778
tv-gVAR,smooth,160,10,0.3,4,0.30353254821754294,0.548076923076923,0.3836466466822716,0.7221600840268759,0.00599172730033081
stationary-gVAR,smooth,160,10,0.3,4,0.7818181818181817,0.33712121212121215,0.469765528589058,0.6768825686508614,0.008523293689010569
Ledoit-Wolf,smooth,160,10,0.3,4,0.13144963144963143,0.8371212121212122,0.22693755478781003,0.5567305323402886,0.018514005507659217
tv-gVAR,smooth,160,10,0.5,0,0.19773290558798043,0.8012820512820513,0.31660047036932926,0.7775582896361507,0.01134376174059911
stationary-gVAR,smooth,160,10,0.5,0,0.21700879765395892,0.5757575757575757,0.3146311053287798,0.6166099313965167,0.012001520703151091
Ledoit-Wolf,smooth,160,10,0.5,0,0.16212121212121214,0.8371212121212122,0.27124183006535946,0.6562091363920632,0.018854422743260175
tv-gVAR,smooth,160,10,0.5,1,0.1677592331512216,0.6762820512820513,0.26846857285057063,0.6451458042686935,0.01242550797605027
stationary-gVAR,smooth,160,10,0.5,1,0.20833333333333337,0.4356060606060606,0.2809343434343434,0.6070934485568631,0.010861220717381267
Ledoit-Wolf,smooth,160,10,0.5,1,0.164983164983165,0.7727272727272727,0.27139429485470534,0.6867170769609795,0.01799161643919892
tv-gVAR,smooth,160,10,0.5,2,0.14372899370159845,0.5384615384615385,0.22579330438318015,0.5848607302641073,0.011868843120559924
stationary-gVAR,smooth,160,10,0.5,2,0.16996047430830039,0.33712121212121215,0.22538751571009638,0.48792806109879266,0.011517444692122484
Ledoit-Wolf,smooth,160,10,0.5,2,0.13223140495867766,0.75,0.22453222453222457,0.5618746091307067,0.021088441400179295
tv-gVAR,smooth,160,10,0.5,3,0.18598024596409066,0.733974358974359,0.2961783924763861,0.7186878618046536,0.009920926627560831
stationary-gVAR,smooth,160,10,0.5,3,0.22222222222222224,0.3484848484848485,0.2703962703962704,0.707677146701537,0.009964491548061324
Ledoit-Wolf,smooth,160,10,0.5,3,0.16771159874608152,0.8371212121212122,0.2790240062967335,0.7187748735004834,0.020596188804812423
tv-gVAR,smooth,160,10,0.5,4,0.19331157620243675,0.7435897435897435,0.30587473686557165,0.7319268052147976,0.011157250928535466
stationary-gVAR,smooth,160,10,0.5,4,0.24545454545454548,0.42424242424242425,0.31006493506493504,0.681041181041181,0.010468989105781331
Ledoit-Wolf,smooth,160,10,0.5,4,0.13144963144963143,0.8371212121212122,0.22693755478781003,0.5578403642428031,0.018526860763523126
tv-gVAR,smooth,320,6,0.3,0,0.6202852702852704,0.7115384615384616,0.6607750522611203,0.8872377622377623,0.005129418600184903
stationary-gVAR,smooth,320,6,0.3,0,1.0,0.13636363636363635,0.2383838383838384,0.7950969485060394,0.02418070380951707
Ledoit-Wolf,smooth,320,6,0.3,0,0.29090909090909084,0.7727272727272727,0.41991341991341985,0.5864589955499047,0.039602690602802214
tv-gVAR,smooth,320,6,0.3,1,0.44765170726709197,0.5865384615384616,0.49942645074224024,0.7325511027434104,0.006911182315491542
stationary-gVAR,smooth,320,6,0.3,1,0.33333333333333337,0.13636363636363635,0.1912632821723731,0.6112921169739353,0.02488037104885513
Ledoit-Wolf,smooth,320,6,0.3,1,0.29090909090909084,0.7727272727272727,0.41991341991341985,0.5519707565162111,0.04074323730396936
tv-gVAR,smooth,320,6,0.3,2,0.7693722943722944,0.6826923076923077,0.709346889383803,0.867149677245831,0.005119521722516471
stationary-gVAR,smooth,320,6,0.3,2,1.0,0.13636363636363635,0.2383838383838384,0.6199936427209155,0.024567594810040762
Ledoit-Wolf,smooth,320,6,0.3,2,0.31818181818181823,1.0,0.4805194805194805,0.6017959313413859,0.03917659319911771
tv-gVAR,smooth,320,6,0.3,3,0.6097236097236097,0.6346153846153846,0.6032060075388198,0.7967657342657343,0.005562256215577701
stationary-gVAR,smooth,320,6,0.3,3,0.5,0.13636363636363635,0.21212121212121213,0.6612762237762237,0.024639775963607443
Ledoit-Wolf,smooth,320,6,0.3,3,0.2803030303030303,0.8863636363636364,0.4237012987012987,0.6847584233947871,0.04318438840206215
tv-gVAR,smooth,320,6,0.3,4,0.7098595848595847,0.5288461538461539,0.5744754114663618,0.7679532006455082,0.0045967482473808
stationary-gVAR,smooth,320,6,0.3,4,1.0,0.13636363636363635,0.2383838383838384,0.5681818181818182,0.0246798093396721
Ledoit-Wolf,smooth,320,6,0.3,4,0.29090909090909084,0.7727272727272727,0.41991341991341985,0.5580101716465354,0.03994267370258033
tv-gVAR,smooth,320,6,0.5,0,0.4437098402774754,0.8846153846153846,0.5882475916255181,0.8637708445400752,0.006232293309646145
stationary-gVAR,smooth,320,6,0.5,0,0.6136363636363636,0.6590909090909091,0.6287878787878788,0.7890178003814369,0.024896348213808074
Ledoit-Wolf,smooth,320,6,0.5,0,0.29090909090909084,0.7727272727272727,0.41991341991341985,0.5773998728544183,0.03962114460399633
tv-gVAR,smooth,320,6,0.5,1,0.3346776123508679,0.7211538461538461,0.45489550401844253,0.7148836740182893,0.008684298068497125
stationary-gVAR,smooth,320,6,0.5,1,0.32323232323232326,0.38636363636363635,0.34882764294529,0.5588048315321045,0.026092321790423104
Ledoit-Wolf,smooth,320,6,0.5,1,0.29090909090909084,0.7727272727272727,0.41991341991341985,0.5519707565162111,0.040761934882105694
tv-gVAR,smooth,320,6,0.5,2,0.4461220529093832,0.8269230769230769,0.5660930694339378,0.8630984400215169,0.0058151104898012595
stationary-gVAR,smooth,320,6,0.5,2,0.36363636363636365,0.38636363636363635,0.37121212121212116,0.742212333121424,0.025189984370706655
Ledoit-Wolf,smooth,320,6,0.5,2,0.31818181818181823,1.0,0.4805194805194805,0.6013588684043231,0.03919356646131225
tv-gVAR,smooth,320,6,0.5,3,0.4350450213304464,0.7115384615384616,0.5313914186860126,0.7774341043571813,0.006030087428015155
stationary-gVAR,smooth,320,6,0.5,3,0.4848484848484848,0.38636363636363635,0.4259740259740259,0.7079624920534011,0.025441141708723712
Ledoit-Wolf,smooth,320,6,0.5,3,0.2803030303030303,0.8863636363636364,0.4237012987012987,0.670931341385887,0.043205177497404865
tv-gVAR,smooth,320,6,0.5,4,0.4596856135317674,0.6538461538461539,0.5349833133710247,0.7652635825712749,0.004750789076789498
stationary-gVAR,smooth,320,6,0.5,4,1.0,0.13636363636363635,0.2383838383838384,0.5441830896376351,0.02482243962295705
Ledoit-Wolf,smooth,320,6,0.5,4,0.29090909090909084,0.7727272727272727,0.41991341991341985,0.552844882390337,0.03996098684442924
tv-gVAR,smooth,320,10,0.3,0,0.4778180341528758,0.5865384615384615,0.5173476739329107,0.8248644986449865,0.0024383931173277114
stationary-gVAR,smooth,320,10,0.3,0,1.0,0.26136363636363635,0.4132231404958678,0.6919979580040558,0.008429600229572799
Ledoit-Wolf,smooth,320,10,0.3,0,0.11515151515151517,0.5984848484848485,0.19281045751633988,0.5600570669168231,0.019066234220127223
tv-gVAR,smooth,320,10,0.3,1,0.4082245183965832,0.5064102564102563,0.4493876815216766,0.7755087314186752,0.0029727446292866925
stationary-gVAR,smooth,320,10,0.3,1,0.33333333333333337,0.08712121212121213,0.13774104683195593,0.5382862395057516,0.008735628108033269
Ledoit-Wolf,smooth,320,10,0.3,1,0.1536050156739812,0.7727272727272727,0.2558048012593467,0.6509241097655731,0.016880962888530873
tv-gVAR,smooth,320,10,0.3,2,0.3587524654832347,0.47756410256410253,0.4060973214819369,0.7537393162393162,0.004097752766894897
stationary-gVAR,smooth,320,10,0.3,2,0.6666666666666667,0.17424242424242425,0.27548209366391185,0.7174601313320825,0.008552587642765674
Ledoit-Wolf,smooth,320,10,0.3,2,0.17155425219941353,0.9128787878787876,0.2884520884520885,0.6621775920556409,0.017978185491838782
tv-gVAR,smooth,320,10,0.3,3,0.47937466730036393,0.5096153846153845,0.4874115917237255,0.751967876557464,0.0020795101447281385
stationary-gVAR,smooth,320,10,0.3,3,1.0,0.08712121212121213,0.16006216006216006,0.6245842572062085,0.008572119306971276
Ledoit-Wolf,smooth,320,10,0.3,3,0.12967914438502673,0.7613636363636364,0.22129186602870818,0.6331656148729319,0.017236641549681596
tv-gVAR,smooth,320,10,0.3,4,0.49795720870381505,0.5961538461538463,0.5375829385955092,0.8204085887012715,0.0022227046570713225
stationary-gVAR,smooth,320,10,0.3,4,0.75,0.26136363636363635,0.38636363636363635,0.6606460950973145,0.008401561977763506
Ledoit-Wolf,smooth,320,10,0.3,4,0.14025974025974025,0.8484848484848485,0.24037750867019164,0.584478698807967,0.019227573003332967
tv-gVAR,smooth,320,10,0.5,0,0.26193423705312563,0.7564102564102565,0.38624651323188897,0.790939048443739,0.004801772453151146
stationary-gVAR,smooth,320,10,0.5,0,0.33333333333333337,0.4356060606060606,0.3762260283999414,0.7047586559781682,0.009078052672331503
Ledoit-Wolf,smooth,320,10,0.5,0,0.11515151515151517,0.5984848484848485,0.19281045751633988,0.5575596490230638,0.01907832067001552
tv-gVAR,smooth,320,10,0.5,1,0.26672157771377086,0.7403846153846154,0.38973067616724505,0.7774660845720884,0.004553453016438258
stationary-gVAR,smooth,320,10,0.5,1,0.32575757575757575,0.33712121212121215,0.3303030303030303,0.7991026588587565,0.00917508210134683
Ledoit-Wolf,smooth,320,10,0.5,1,0.1536050156739812,0.7727272727272727,0.2558048012593467,0.6488430268918074,0.01689002471863067
tv-gVAR,smooth,320,10,0.5,2,0.24194912076334704,0.6730769230769229,0.3536249093563638,0.7350026458844471,0.006528578136035472
stationary-gVAR,smooth,320,10,0.5,2,0.32323232323232326,0.5,0.3916083916083916,0.7813571929425589,0.009535889896305843
Ledoit-Wolf,smooth,320,10,0.5,2,0.17155425219941353,0.9128787878787876,0.2884520884520885,0.6675881706369512,0.017987483511826708
tv-gVAR,smooth,320,10,0.5,3,0.23084485694450968,0.6185897435897435,0.3341091460622932,0.7213247261910489,0.0042263155596479005
stationary-gVAR,smooth,320,10,0.5,3,0.4848484848484848,0.5,0.49090909090909096,0.7128212234919551,0.008992537393531702
Ledoit-Wolf,smooth,320,10,0.5,3,0.12967914438502673,0.7613636363636364,0.22129186602870818,0.6295583650766576,0.01724543207919837
tv-gVAR,smooth,320,10,0.5,4,0.2725068025661893,0.7692307692307693,0.4005847963092636,0.8191437757572841,0.004414904012165986
stationary-gVAR,smooth,320,10,0.5,4,0.75,0.5227272727272727,0.6136363636363634,0.8022923891826331,0.00851420350763416
Ledoit-Wolf,smooth,320,10,0.5,4,0.14025974025974025,0.8484848484848485,0.24037750867019164,0.586421200750469,0.01923927636752817
tv-gVAR,abrupt,80,6,0.3,0,0.4596916971916972,0.6634615384615384,0.5345468257232963,0.7388548951048951,0.016758488724947625
stationary-gVAR,abrupt,80,6,0.3,0,0.5,0.125,0.2,0.6477272727272726,0.023539643477241908
Ledoit-Wolf,abrupt,80,6,0.3,0,0.2307692307692308,0.75,0.35294117647058826,0.5028409090909091,0.034501658174420524
tv-gVAR,abrupt,80,6,0.3,1,0.3892197546043701,0.6346153846153846,0.48171127118495544,0.666520979020979,0.01655243464802856
stationary-gVAR,abrupt,80,6,0.3,1,0.0,0.0,0.0,0.6420454545454547,0.02432385974685133
Ledoit-Wolf,abrupt,80,6,0.3,1,0.33333333333333337,0.75,0.4615384615384616,0.5795454545454547,0.04275408188728392
tv-gVAR,abrupt,80,6,0.3,2,0.38935060665829896,0.5480769230769231,0.4491248704332565,0.6553758741258741,0.015198178922019504
stationary-gVAR,abrupt,80,6,0.3,2,0.5,0.125,0.2,0.5625,0.02439219799540723
Ledoit-Wolf,abrupt,80,6,0.3,2,0.25,0.75,0.375,0.5653409090909092,0.04415692792583525
tv-gVAR,abrupt,80,6,0.3,3,0.4443012116089039,0.7115384615384616,0.5439991381167852,0.7799388111888111,0.015199958531331579
stationary-gVAR,abrupt,80,6,0.3,3,0.5,0.25,0.33333333333333337,0.6818181818181818,0.024499346195440305
Ledoit-Wolf,abrupt,80,6,0.3,3,0.25,0.75,0.375,0.5795454545454547,0.04393340168650158
tv-gVAR,abrupt,80,6,0.3,4,0.3893669926564663,0.5961538461538461,0.46268418444350606,0.6350524475524476,0.024394600288100365
stationary-gVAR,abrupt,80,6,0.3,4,0.33333333333333337,0.25,0.28571428571428564,0.5028409090909091,0.025972249186947648
Ledoit-Wolf,abrupt,80,6,0.3,4,0.18181818181818182,0.5,0.26666666666666666,0.42613636363636365,0.04285996148718821
tv-gVAR,abrupt,80,6,0.5,0,0.37135892143632077,0.8076923076923077,0.5076264694740072,0.7248688811188811,0.021481010397344475
stationary-gVAR,abrupt,80,6,0.5,0,0.33333333333333337,0.5,0.4,0.6306818181818182,0.025389716277866823
Ledoit-Wolf,abrupt,80,6,0.5,0,0.2307692307692308,0.75,0.35294117647058826,0.5,0.03451782109468396
tv-gVAR,abrupt,80,6,0.5,1,0.3084307591273535,0.7980769230769231,0.4438800444569676,0.6560314685314684,0.023769083835302032
stationary-gVAR,abrupt,80,6,0.5,1,0.4,0.75,0.5217391304347825,0.6363636363636364,0.027494451675488477
Ledoit-Wolf,abrupt,80,6,0.5,1,0.33333333333333337,0.75,0.4615384615384616,0.5965909090909091,0.04277485566619402
tv-gVAR,abrupt,80,6,0.5,2,0.2903576432093056,0.6634615384615384,0.4011944948812743,0.6516608391608391,0.022897496469641423
stationary-gVAR,abrupt,80,6,0.5,2,0.375,0.375,0.375,0.5767045454545453,0.02638375644711026
Ledoit-Wolf,abrupt,80,6,0.5,2,0.25,0.75,0.375,0.5738636363636365,0.04418160888994447
tv-gVAR,abrupt,80,6,0.5,3,0.3381346958722524,0.8365384615384616,0.47949603719166906,0.7729458041958043,0.027171853899410795
stationary-gVAR,abrupt,80,6,0.5,3,0.5,0.5,0.5,0.6590909090909091,0.029648280157940545
Ledoit-Wolf,abrupt,80,6,0.5,3,0.25,0.75,0.375,0.5823863636363635,0.043961032163226825
tv-gVAR,abrupt,80,6,0.5,4,0.31417118277486167,0.75,0.43959185975315,0.6354895104895105,0.03491682430433868
stationary-gVAR,abrupt,80,6,0.5,4,0.2,0.375,0.26086956521739124,0.44886363636363646,0.03355497513448623
Ledoit-Wolf,abrupt,80,6,0.5,4,0.18181818181818182,0.5,0.26666666666666666,0.4204545454545455,0.04288373210762858
tv-gVAR,abrupt,80,10,0.3,0,0.2114455412698118,0.5961538461538463,0.3102220083876297,0.6821170282708745,0.011075429516233602
stationary-gVAR,abrupt,80,10,0.3,0,0.2307692307692308,0.25,0.24000000000000005,0.6693376068376068,0.009413362449031744
Ledoit-Wolf,abrupt,80,10,0.3,0,0.1323529411764706,0.75,0.225,0.4497863247863247,0.02366179555738367
tv-gVAR,abrupt,80,10,0.3,1,0.22439218395379038,0.6346153846153846,0.33077823673331486,0.689102564102564,0.014178536574911436
stationary-gVAR,abrupt,80,10,0.3,1,0.5,0.5833333333333333,0.5384615384615384,0.8018162393162395,0.009820709010735847
Ledoit-Wolf,abrupt,80,10,0.3,1,0.16129032258064518,0.8333333333333335,0.27027027027027023,0.7184829059829061,0.022274312188695366
tv-gVAR,abrupt,80,10,0.3,2,0.17921393588814402,0.4423076923076923,0.2535649659439485,0.6046186719263642,0.012879740038219968
stationary-gVAR,abrupt,80,10,0.3,2,0.36363636363636365,0.33333333333333337,0.3478260869565217,0.7077991452991454,0.009093548905271072
Ledoit-Wolf,abrupt,80,10,0.3,2,0.18181818181818182,1.0,0.30769230769230765,0.717948717948718,0.02232462686055426
tv-gVAR,abrupt,80,10,0.3,3,0.18210809035742723,0.4615384615384614,0.25911136936109147,0.6090154503616041,0.011388119833248871
stationary-gVAR,abrupt,80,10,0.3,3,0.14285714285714282,0.08333333333333334,0.10526315789473685,0.4914529914529915,0.008649697601759513
Ledoit-Wolf,abrupt,80,10,0.3,3,0.1296296296296296,0.5833333333333333,0.2121212121212121,0.5261752136752137,0.01841675592793569
tv-gVAR,abrupt,80,10,0.3,4,0.22274796505565736,0.6346153846153846,0.3293316704063654,0.6964579224194609,0.013490352439256146
stationary-gVAR,abrupt,80,10,0.3,4,0.35714285714285715,0.41666666666666674,0.38461538461538464,0.6068376068376067,0.009666861214908689
Ledoit-Wolf,abrupt,80,10,0.3,4,0.16666666666666669,1.0,0.28571428571428564,0.6741452991452991,0.020599506504377692
tv-gVAR,abrupt,80,10,0.5,0,0.16935929102092606,0.7628205128205129,0.2770146978292296,0.6863083497698882,0.0227184510220366
stationary-gVAR,abrupt,80,10,0.5,0,0.1875,0.5,0.27272727272727265,0.689102564102564,0.012868454181203314
Ledoit-Wolf,abrupt,80,10,0.5,0,0.1323529411764706,0.75,0.225,0.44871794871794873,0.02368186064508556
tv-gVAR,abrupt,80,10,0.5,1,0.169758164079536,0.814102564102564,0.2804318744202493,0.6798570019723866,0.02659630497307676
stationary-gVAR,abrupt,80,10,0.5,1,0.2307692307692308,0.75,0.35294117647058826,0.7585470085470085,0.016824271519108258
Ledoit-Wolf,abrupt,80,10,0.5,1,0.16129032258064518,0.8333333333333335,0.27027027027027023,0.7200854700854701,0.02229102260587414
tv-gVAR,abrupt,80,10,0.5,2,0.15430331036021627,0.6666666666666666,0.24988315296373792,0.5784845496383959,0.025366932552948626
stationary-gVAR,abrupt,80,10,0.5,2,0.2,0.5,0.28571428571428564,0.7104700854700854,0.012732987627788083
Ledoit-Wolf,abrupt,80,10,0.5,2,0.18181818181818182,1.0,0.30769230769230765,0.7158119658119658,0.022344288605437104
tv-gVAR,abrupt,80,10,0.5,3,0.1419418884468026,0.6474358974358974,0.23268592735244284,0.5694033530571991,0.023071448119793392
stationary-gVAR,abrupt,80,10,0.5,3,0.08571428571428573,0.25,0.1276595744680851,0.3846153846153845,0.012787487604478178
Ledoit-Wolf,abrupt,80,10,0.5,3,0.1296296296296296,0.5833333333333333,0.2121212121212121,0.5256410256410257,0.018431536339020806
tv-gVAR,abrupt,80,10,0.5,4,0.17635645226596458,0.7948717948717948,0.2883533300347778,0.6877465483234714,0.02536619786947682
stationary-gVAR,abrupt,80,10,0.5,4,0.17142857142857146,0.5,0.2553191489361702,0.5571581196581196,0.015062525676267141
Ledoit-Wolf,abrupt,80,10,0.5,4,0.16666666666666669,1.0,0.28571428571428564,0.672008547008547,0.020613330863104577
tv-gVAR,abrupt,160,6,0.3,0,0.4846279537456008,0.6634615384615384,0.5477489234266727,0.7746940559440557,0.010807984310171333
stationary-gVAR,abrupt,160,6,0.3,0,0.5,0.25,0.33333333333333337,0.7073863636363635,0.023715048069161523
Ledoit-Wolf,abrupt,160,6,0.3,0,0.2307692307692308,0.75,0.35294117647058826,0.47727272727272735,0.04192893063208448
tv-gVAR,abrupt,160,6,0.3,1,0.5313430159584005,0.7019230769230769,0.6026491568287233,0.7886800699300699,0.009913603985691919
stationary-gVAR,abrupt,160,6,0.3,1,1.0,0.25,0.4,0.6704545454545452,0.023745746901404793
Ledoit-Wolf,abrupt,160,6,0.3,1,0.33333333333333337,0.75,0.4615384615384616,0.6960227272727274,0.04005942690702107
tv-gVAR,abrupt,160,6,0.3,2,0.5451631701631701,0.5480769230769231,0.5394938824505388,0.7296765734265734,0.009873630703312162
stationary-gVAR,abrupt,160,6,0.3,2,0.5,0.125,0.2,0.5568181818181818,0.024147547637287648
